tau,SCS-3.0,OSQP,COSMO
1.8040819287193828,0.998,0.021,0.007
1.820791680099463,0.998,0.022,0.007
1.8376562003881711,0.998,0.022,0.007
1.8546769230846987,0.998,0.023,0.007
1.8718552949655787,0.998,0.023,0.007
1.8891927762076663,0.998,0.023,0.007
1.9066908405122525,0.998,0.024,0.007
1.924350975230331,0.998,0.024,0.008
1.9421746814890257,0.998,0.025,0.008
1.9601634743191854,0.998,0.026,0.008
1.9783188827841642,0.998,0.026,0.008
1.996642450109794,0.999,0.026,0.008
2.0151357338155576,0.999,0.03,0.008
2.0338003058469813,0.999,0.031,0.008
2.052637752709252,0.999,0.031,0.008
2.071649675602069,0.999,0.032,0.009
2.0908376905557504,0.999,0.032,0.009
2.1102034285685956,0.999,0.033,0.01
2.12974853574552,0.999,0.035,0.01
2.14947467343798,0.999,0.04,0.01
2.1693835183851844,0.999,0.04,0.01
2.1894767628566214,0.999,0.04,0.012
2.209756114795902,0.999,0.041,0.012
2.2302232979659378,0.999,0.043,0.013
2.2508800520954613,0.999,0.044,0.013
2.2717281330269055,0.999,0.046,0.013
2.2927693128656492,0.999,0.048,0.013
2.314005380130653,0.999,0.05,0.013
2.3354381399064787,0.999,0.051,0.014
2.3570694139967276,0.999,0.052,0.014
2.3789010410788936,0.999,0.054,0.014
2.4009348768606524,0.999,0.056,0.015
2.4231727942375993,0.999,0.056,0.016
2.445616683452446,0.999,0.056,0.017
2.468268452255692,0.999,0.058,0.017
2.491130026067789,0.999,0.061,0.017
2.5142033481427974,0.999,0.061,0.017
2.5374903797335704,0.999,0.061,0.017
2.5609931002584587,0.999,0.064,0.017
2.5847135074695635,0.999,0.066,0.017
2.608653617622548,0.999,0.07,0.017
2.632815465648021,0.999,0.072,0.018
2.6572011053245053,0.999,0.074,0.018
2.681812609453015,0.999,0.077,0.018
2.7066520700332415,0.999,0.081,0.018
2.7317215984413767,0.999,0.084,0.018
2.7570233256095835,0.999,0.088,0.018
2.7825594022071245,0.999,0.09,0.018
2.808331998823172,0.999,0.092,0.018
2.8343433061513092,0.999,0.094,0.018
2.8605955351757424,0.999,0.095,0.018
2.887090917359236,0.999,0.1,0.018
2.9138317048327873,0.999,0.101,0.018
2.940820170587063,0.999,0.103,0.018
2.9680586086656024,0.999,0.103,0.019
2.9955493343598136,0.999,0.106,0.02
3.0232946844057773,0.999,0.108,0.022
3.0512970171828697,0.999,0.113,0.023
3.079558712914226,0.999,0.116,0.023
3.108082173869064,0.999,0.12,0.023
3.1368698245668774,0.999,0.123,0.025
3.1659241119835224,0.999,0.125,0.027
3.195247505759212,0.999,0.126,0.028
3.2248424984084414,0.999,0.128,0.03
3.254711605531848,0.999,0.131,0.032
3.2848573660300446,0.999,0.132,0.034
3.315282342319425,0.999,0.133,0.034
3.345989120549973,0.999,0.136,0.035
3.3769803108250906,0.999,0.138,0.036
3.408258547423452,0.999,0.142,0.038
3.4398264890229253,0.999,0.143,0.041
3.4716868189265613,0.999,0.146,0.044
3.503842245290674,0.999,0.147,0.045
3.536295501355042,0.999,0.153,0.047
3.5690493456752295,0.999,0.156,0.049
3.602106562357071,0.999,0.162,0.051
3.6354699612933197,0.999,0.167,0.051
3.6691423784024932,0.999,0.171,0.054
3.703126675869926,0.999,0.174,0.055
3.737425742391064,0.999,0.178,0.058
3.7720424934169983,0.999,0.178,0.061
3.806979871402286,0.999,0.18,0.061
3.84224084605506,0.999,0.184,0.063
3.877828414589456,0.999,0.191,0.068
3.913745601980384,0.999,0.199,0.069
3.949995461220644,0.999,0.202,0.071
3.986581073580441,0.999,0.21,0.075
4.023505548869292,0.999,0.212,0.076
4.060772025700365,0.999,0.215,0.08
4.0983836717572615,0.999,0.22,0.082
4.136343684063275,0.999,0.228,0.086
4.174655289253137,1.0,0.232,0.089
4.213321743847288,1.0,0.234,0.091
4.252346334528682,1.0,0.238,0.093
4.291732378422157,1.0,0.241,0.097
4.3314832233764,1.0,0.248,0.101
4.371602248248505,1.0,0.25,0.108
4.412092863191189,1.0,0.253,0.111
4.452958509942655,1.0,0.263,0.113
4.494202662119142,1.0,0.266,0.116
4.535828825510188,1.0,0.269,0.119
4.577840538376619,1.0,0.273,0.125
4.6202413717513116,1.0,0.276,0.126
4.663034929742731,1.0,0.279,0.135
4.7062248498412815,1.0,0.282,0.141
4.749814803228501,1.0,0.285,0.145
4.79380849508911,1.0,0.287,0.15
4.838209664925956,1.0,0.291,0.154
4.8830220868778795,1.0,0.294,0.157
4.9282495700405144,1.0,0.297,0.16
4.973895958790064,1.0,0.3,0.163
5.019965133110082,1.0,0.304,0.169
5.066461008921268,1.0,0.308,0.175
5.113387538414326,1.0,0.314,0.18
5.160748710385909,1.0,0.32,0.185
5.208548550577661,1.0,0.321,0.187
5.256791122018422,1.0,0.325,0.193
5.305480525369573,1.0,0.327,0.197
5.354620899273607,1.0,0.33,0.198
5.404216420705916,1.0,0.335,0.203
5.454271305329834,1.0,0.339,0.208
5.50478980785497,1.0,0.344,0.214
5.555776222398876,1.0,0.349,0.219
5.607234882852032,1.0,0.355,0.224
5.659170163246244,1.0,0.362,0.232
5.711586478126432,1.0,0.365,0.241
5.764488282925877,1.0,0.37,0.246
5.8178800743449335,1.0,0.373,0.249
5.871766390733256,1.0,0.377,0.259
5.926151812475554,1.0,0.381,0.264
5.981040962380941,1.0,0.383,0.269
6.036438506075867,1.0,0.389,0.275
6.09234915240071,1.0,0.392,0.278
6.148777653810023,1.0,0.397,0.285
6.205728806776502,1.0,0.404,0.289
6.26320745219869,1.0,0.41,0.296
6.321218475812452,1.0,0.413,0.301
6.379766808606281,1.0,0.419,0.308
6.4388574272404195,1.0,0.423,0.311
6.49849535446989,1.0,0.424,0.318
6.558685659571432,1.0,0.426,0.324
