name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N
QRECIPE,QPALM,optimal,0.0054929256439208984,34,-266.61600015077795,-266.616,180,271,923
QSC205,QPALM,optimal,0.00709223747253418,43,-0.005813953477769958,-0.0058139518,203,408,785
QSCAGR25,QPALM,max_iter_reached,0.5606083869934082,2500,201737938.37071255,201737940.0,500,971,2282
QSCAGR7,QPALM,max_iter_reached,0.4851114749908447,2500,26865948.58901812,26865949.0,140,269,602
QSCFXM1,QPALM,max_iter_reached,0.5627403259277344,2500,16882691.639314413,16882692.0,457,787,4456
QSCFXM2,QPALM,max_iter_reached,1.1360580921173096,2500,27776161.578610823,27776162.0,914,1574,8285
QSCFXM3,QPALM,max_iter_reached,1.867509365081787,2500,30816354.4708665,30816355.0,1371,2361,11501
QSCORPIO,QPALM,optimal,0.02250957489013672,81,1880.5095529522773,1880.5096,358,746,1842
QSCRS8,QPALM,max_iter_reached,1.043335199356079,2500,904.5600138507856,904.56001,1169,1659,4560
QSCSD1,QPALM,optimal,0.03447723388671875,103,8.66666663415659,8.6666667,760,837,4584
QSCSD6,QPALM,optimal,0.1647663116455078,254,50.8082138980838,50.808214,1350,1497,8378
QSCSD8,QPALM,optimal,0.7035629749298096,376,940.7635740351674,940.76357,2750,3147,16214
QSCTAP1,QPALM,optimal,0.0666513442993164,245,1415.861111240826,1415.8611,480,780,2442
QSCTAP2,QPALM,optimal,0.1947624683380127,149,1735.0264952420448,1735.0265,1880,2970,10007
QSCTAP3,QPALM,optimal,0.2699308395385742,146,1438.7546799718707,1438.7547,2480,3960,13262
QSEBA,QPALM,max_iter_reached,0.9476485252380371,2500,81481800.35683277,81481801.0,1028,1543,6576
QSHARE1B,QPALM,max_iter_reached,0.42581844329833984,2500,720078.3181538213,720078.32,225,342,1436
QSHARE2B,QPALM,optimal,0.012094259262084961,152,11703.69162648764,11703.692,79,175,873
QSHELL,QPALM,max_iter_reached,2.8430705070495605,2500,1572636842999.0227,1572636800000.0,1775,2311,74506
QSHIP04L,QPALM,max_iter_reached,1.7216942310333252,2500,2420015.5341104288,2420015.5,2118,2520,8548
