name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
LISWET5,OSQP,optimal,0.11655211448669434,225,25.024076903415335,25.034253,10002,20002,50004,0,0.010894535,0.104629585,0.0,1,1.6309107076922678
LISWET6,OSQP,optimal,0.23344993591308594,525,24.989126004110403,24.995748,10002,20002,50004,0,0.010414957,0.222076798,0.0,1,4.865270110883414
LISWET7,OSQP,optimal,0.27918100357055664,650,24.996642637966488,498.84089,10002,20002,50004,0,0.010915934,0.267085579,0.0,1,6.135746138788973
LISWET8,OSQP,optimal,0.2780790328979492,650,24.996619131589796,7144.7006,10002,20002,50004,0,0.010827051,0.266271491,0.0,1,6.111689907962054
LISWET9,OSQP,optimal,0.28577589988708496,650,24.996569817289128,1963.2513,10002,20002,50004,0,0.011027955,0.273575121,0.0,1,6.111746170601624
LOTSCHD,OSQP,optimal,0.00041604042053222656,100,2398.2800879342426,2398.4159,12,19,72,0,2.1008e-05,8.2882e-05,0.0,1,1.5323712194201664
MOSARQP1,OSQP,optimal,0.0205991268157959,175,-952.8769218736846,-952.87544,2500,3200,8512,0,0.002349295,0.017342747,0.0,1,1.405915798136249
MOSARQP2,OSQP,optimal,0.008477926254272461,75,-1597.483657605334,-1597.4821,900,1500,4820,0,0.001631735,0.006062853,0.0,1,1.4409067327931016
POWELL20,OSQP,solver_error,38.49400305747986,100000,45654247587.35713,52089583000.0,10000,20000,40000,0,0.010507569,38.481065509,0.0,2,33.00747139931302
PRIMAL1,OSQP,optimal,0.004378795623779297,50,-0.03501285295471299,-0.035012965,325,410,6464,0,0.001910032,0.001989029,0.0,1,0.4630366421465433
PRIMAL2,OSQP,optimal,0.004209995269775391,25,-0.03373369508507323,-0.033733676,649,745,9339,0,0.002810126,0.000990331,0.0,0,0.7139374852770279
PRIMAL3,OSQP,optimal,0.014060735702514648,25,-0.13575793786938248,-0.13575584,745,856,23036,0,0.011830925,0.001847627,0.0,0,0.06830044393489744
PRIMAL4,OSQP,optimal,0.014822959899902344,75,-0.7460912041091421,-0.74609083,1489,1564,19008,0,0.009245804,0.005111824,0.0,0,0.023404550192540226
PRIMALC1,OSQP,solver_error,0.9670102596282959,100000,-133313670.05885553,-6155.2508,230,239,2529,0,0.000150342,0.966489008,0.0,4,1e-06
PRIMALC2,OSQP,solver_error,0.8026649951934814,100000,-142680322.59536898,-3551.3077,231,238,2078,0,0.000114191,0.802265617,0.0,2,1e-06
PRIMALC5,OSQP,solver_error,1.1084909439086914,100000,-12999716.626316082,-427.23233,287,295,2869,0,0.000155865,1.107987476,0.0,5,3.4669641304041704e-06
PRIMALC8,OSQP,solver_error,2.0205020904541016,100000,-249975663.6585133,-18309.43,520,528,5199,0,0.000267229,2.019829344,0.0,2,1e-06
Q25FV47,OSQP,optimal,9.746679067611694,34250,13744463.704253843,13744448.0,1571,2391,130523,0,0.014834751,9.727871964,0.0,1,0.009257443145001085
QADLITTL,OSQP,optimal,0.006294727325439453,1425,480374.41188100853,480318.86,97,153,637,0,0.000173252,0.005108301,0.0,4,0.00029184986182532346
QAFIRO,OSQP,optimal,0.0010528564453125,375,-1.5907123533974294,-1.5907818,32,59,124,0,4.426e-05,0.000478136,0.0,0,0.04087566602507824
QBANDM,OSQP,optimal,0.052506208419799805,2425,16352.572699706509,16352.342,472,777,3023,0,0.001025996,0.050767785,0.0,1,0.017315158952123818
QBEACONF,OSQP,optimal,0.03185391426086426,1950,164717.26835595263,164712.06,262,435,3673,0,0.000667177,0.030632398,0.0,3,3.980943004058127e-05
QBORE3D,OSQP,solver_error,1.2503178119659424,100000,3095.6905899388776,3100.2008,315,548,1872,0,0.000435156,1.24926673,0.0,17,6.743869435204118e-05
QBRANDY,OSQP,optimal,0.3639187812805176,23725,28374.663162413683,28375.115,249,469,2511,0,0.000502791,0.362646917,0.0,3,0.20182679955890873
QCAPRI,OSQP,solver_error,1.9094939231872559,100000,45465665.83344728,66793293.0,353,624,3852,0,0.000718358,1.907907798,0.0,2,13.118474383382525
