tau,SCS,OSQP,COSMO
7.531420165974372,0.998,0.997,0.936
7.6011776179553285,0.998,0.997,0.937
7.671581176779302,0.999,0.997,0.937
7.742636826811269,0.999,0.997,0.938
7.814350607844544,1.0,0.997,0.938
7.886728615614152,1.0,0.997,0.938
7.959777002314984,1.0,0.997,0.938
8.033501977124734,1.0,0.997,0.938
8.107909806731687,1.0,0.997,0.938
8.183006815867392,1.0,0.997,0.938
8.258799387844268,1.0,0.997,0.938
8.335293965098193,1.0,0.997,0.938
8.412497049736118,1.0,0.997,0.938
8.490415204088746,1.0,0.997,0.938
8.56905505126835,1.0,0.997,0.938
8.648423275731723,1.0,0.997,0.938
8.728526623848378,1.0,0.998,0.938
8.809371904473991,1.0,0.998,0.938
8.89096598952916,1.0,0.998,0.938
8.973315814583522,1.0,0.998,0.938
9.05642837944529,1.0,0.998,0.938
9.14031074875623,1.0,0.998,0.938
9.224970052592175,1.0,0.998,0.938
9.310413487069077,1.0,0.998,0.939
9.396648314954692,1.0,0.998,0.939
9.483681866285922,1.0,0.999,0.939
9.571521538991863,1.0,0.999,0.939
9.660174799522645,1.0,0.999,0.939
9.749649183484088,1.0,0.999,0.939
9.83995229627823,1.0,0.999,0.939
9.931091813749795,1.0,0.999,0.939
10.023075482838655,1.0,0.999,0.939
10.115911122238298,1.0,0.999,0.939
10.209606623060465,1.0,0.999,0.939
10.30416994950588,1.0,0.999,0.939
10.399609139541198,1.0,0.999,0.939
10.495932305582278,1.0,0.999,0.939
10.5931476351837,1.0,0.999,0.939
10.691263391734761,1.0,0.999,0.939
10.79028791516184,1.0,0.999,0.939
10.8902296226373,1.0,0.999,0.939
10.991097009294972,1.0,0.999,0.939
11.092898648952227,1.0,0.999,0.94
11.195643194838782,1.0,0.999,0.94
11.299339380332222,1.0,0.999,0.94
11.403996019700324,1.0,0.999,0.94
11.509622008850323,1.0,0.999,0.94
11.616226326085018,1.0,0.999,0.94
11.723818032865985,1.0,0.999,0.94
11.832406274583786,1.0,0.999,0.94
11.94200028133532,1.0,0.999,0.94
12.052609368708426,1.0,0.999,0.94
12.164242938573679,1.0,0.999,0.94
12.276910479883592,1.0,0.999,0.94
12.390621569479162,1.0,0.999,0.94
12.505385872903908,1.0,0.999,0.94
12.621213145225473,1.0,0.999,0.94
12.738113231864785,1.0,0.999,0.942
12.856096069432958,1.0,0.999,0.942
12.975171686575875,1.0,0.999,0.942
13.095350204826671,1.0,0.999,0.942
13.216641839466051,1.0,0.999,0.942
13.339056900390586,1.0,0.999,0.942
13.462605792989104,1.0,0.999,0.942
13.587299019027098,1.0,0.999,0.942
13.71314717753945,1.0,0.999,0.942
13.840160965731316,1.0,0.999,0.942
13.968351179887398,1.0,0.999,0.942
14.09772871628967,1.0,0.999,0.942
14.228304572143527,1.0,0.999,0.942
14.360089846512599,1.0,0.999,0.942
14.493095741262167,1.0,0.999,0.942
14.627333562011298,1.0,0.999,0.942
14.762814719093903,1.0,0.999,0.942
14.899550728528544,1.0,0.999,0.942
15.037553212997377,1.0,1.0,0.942
15.176833902834053,1.0,1.0,0.942
15.317404637020799,1.0,1.0,0.942
15.459277364194778,1.0,1.0,0.942
15.602464143663688,1.0,1.0,0.942
15.74697714643086,1.0,1.0,0.942
15.89282865622978,1.0,1.0,0.942
16.0400310705682,1.0,1.0,0.942
16.188596901781985,1.0,1.0,0.942
16.338538778098613,1.0,1.0,0.943
16.48986944471065,1.0,1.0,0.943
16.642601764859037,1.0,1.0,0.943
16.79674872092653,1.0,1.0,0.943
16.952323415541205,1.0,1.0,0.943
17.109339072690144,1.0,1.0,0.943
17.26780903884356,1.0,1.0,0.943
17.42774678408919,1.0,1.0,0.943
17.589165903277326,1.0,1.0,0.943
17.75208011717635,1.0,1.0,0.943
17.916503273639005,1.0,1.0,0.943
18.082449348779516,1.0,1.0,0.943
18.249932448161523,1.0,1.0,0.943
18.41896680799711,1.0,1.0,0.944
18.589566796356873,1.0,1.0,0.944
18.761746914391203,1.0,1.0,0.944
18.935521797562952,1.0,1.0,0.944
19.11090621689138,1.0,1.0,0.944
19.287915080207778,1.0,1.0,0.944
19.46656343342262,1.0,1.0,0.944
19.646866461804457,1.0,1.0,0.944
19.828839491270713,1.0,1.0,0.944
20.01249798969037,1.0,1.0,0.944
20.197857568198785,1.0,1.0,0.944
20.384933982524633,1.0,1.0,0.944
20.573743134329128,1.0,1.0,0.944
20.764301072557746,1.0,1.0,0.944
20.95662399480433,1.0,1.0,0.944
21.150728248687948,1.0,1.0,0.944
21.346630333242445,1.0,1.0,0.944
21.544346900318832,1.0,1.0,0.944
21.7438947560008,1.0,1.0,0.944
21.945290862033136,1.0,1.0,0.944
22.14855233726359,1.0,1.0,0.944
22.353696459097954,1.0,1.0,0.944
22.560740664968602,1.0,1.0,0.944
22.7697025538168,1.0,1.0,0.944
22.98059988758851,1.0,1.0,0.944
23.193450592744288,1.0,1.0,0.944
23.408272761782932,1.0,1.0,0.944
23.625084654779464,1.0,1.0,0.944
23.843904700937205,1.0,1.0,0.944
24.06475150015424,1.0,1.0,0.944
24.287643824604515,1.0,1.0,0.944
24.512600620333387,1.0,1.0,0.944
24.73964100886813,1.0,1.0,0.944
24.968784288843267,1.0,1.0,0.944
25.200049937640923,1.0,1.0,0.944
25.433457613046496,1.0,1.0,0.944
25.669027154919505,1.0,1.0,0.944
25.906778586880076,1.0,1.0,0.944
26.14673211801092,1.0,1.0,0.944
26.388908144575105,1.0,1.0,0.944
26.633327251749822,1.0,1.0,0.944
26.88001021537606,1.0,1.0,0.944
27.128978003724658,1.0,1.0,0.944
27.380251779278577,1.0,1.0,0.944
27.6338529005317,1.0,1.0,0.944
27.88980292380441,1.0,1.0,0.944
28.1481236050758,1.0,1.0,0.944
28.408836901833027,1.0,1.0,0.944
28.671964974937698,1.0,1.0,0.944
28.937530190509502,1.0,1.0,0.944
29.205555121827466,1.0,1.0,0.944
29.47606255124857,1.0,1.0,0.944
29.749075472144405,1.0,1.0,0.944
30.024617090855493,1.0,1.0,0.944
30.30271082866396,1.0,1.0,0.944
30.583380323784333,1.0,1.0,0.944
30.86664943337273,1.0,1.0,0.944
31.15254223555488,1.0,1.0,0.944
31.441083031472647,1.0,1.0,0.944
31.732296347349763,1.0,1.0,0.944
32.02620693657652,1.0,1.0,0.944
32.32283978181379,1.0,1.0,0.944
32.622220097116696,1.0,1.0,0.944
32.924373330077685,1.0,1.0,0.944
33.229325163989714,1.0,1.0,0.944
33.5371015200293,1.0,1.0,0.944
33.84772855945981,1.0,1.0,0.944
34.16123268585528,1.0,1.0,0.944
34.47764054734464,1.0,1.0,0.944
34.79697903887691,1.0,1.0,0.944
35.1192753045073,1.0,1.0,0.944
35.44455673970434,1.0,1.0,0.944
35.77285099367874,1.0,1.0,0.944
36.10418597173337,1.0,1.0,0.944
36.43858983763545,1.0,1.0,0.944
36.77609101601033,1.0,1.0,0.944
