name,solver,status,run_time,iter,obj_val,n,m,N,status_val,scale_updates,scale,pobj,dobj,res_pri,res_dual,gap,res_infeas,res_unbdd_a,res_unbdd_p,comp_slack,solve_time,setup_time,lin_sys_time,cone_time,accel_time,rejected_accel_steps,accepted_accel_steps
eilC76-2,SCS-3.0,optimal,16.653900146484375,4950,-2905.139552254152,28481,28556,342709,1,1,19.2728250630537,-2905.139552254152,-2905.0697544802865,0.00017406774095805197,0.0886340924671271,0.06979777386559036,,0.00034421754468150976,0.0,1.1177689884789288e-08,16397.120302,245.598221,13230.26635600002,1234.8424619999996,0.0,0,0
eva1aprime6x6opt,SCS-3.0,optimal,9.582090616226196,4050,-495.51520461180826,3106,34834,160840,1,3,4.879241207926338,-495.51520461180826,-495.4901381049447,0.0022170176480230236,0.09429315426251829,0.025066506863559223,,0.002018101301325665,0.0,3.0653243832112764e-11,9421.823413,153.371218,7147.469492000006,1094.2641040000012,0.0,0,0
ex10,SCS-3.0,optimal,342.93758487701416,250,96.00000038809789,15892,78822,1048132,1,0,0.1,96.00000038809789,95.99996504032252,0.00026556290812094466,5.782047659144113e-05,3.534777536913733e-05,0.02083391600864851,,,3.410605131648481e-13,56237.393484,286549.48905,55611.89011099998,171.39997199999982,0.0,0,0
ex1010-pi,SCS-3.0,optimal,12.329670906066895,2075,220.67091350850393,23312,24780,120410,1,4,1.5199247890177352,220.67091350850393,220.67080867737363,0.00016448684970764505,0.00019034331947852888,0.00010483113031334658,0.004532499560382644,,,7.933637144218632e-10,11735.013871,584.601752,8746.477693000003,614.8412900000002,0.0,0,0
ex9,SCS-3.0,optimal,50.85889911651611,150,77.99999989366134,8482,42166,411242,1,0,0.1,77.99999989366134,78.00002481684045,0.00029904273686259076,2.2981083163710086e-05,2.492317910443779e-05,0.03846156638769962,,,2.8421709430404007e-13,9330.027756,41487.417705,9152.3288,48.894552000000004,0.0,0,0
fast0507,SCS-3.0,optimal,30.086338996887207,4775,158.14656491227439,62171,62653,463927,1,3,3.927347679781518,158.14656491227439,158.1452740308163,0.00010708723689755858,0.00028997546691533684,0.0012908814580745525,0.012648433459207497,,,6.263223273350604e-10,28946.610258,1123.323568,21333.36152399998,3152.736834999998,0.0,0,0
fastxgemm-n3r21s3t6,SCS-3.0,optimal,1.705122947692871,50,83.9201996108116,18684,176816,491886,1,0,0.1,83.9201996108116,83.91590318706395,0.0026549276671324964,0.000995632944318292,0.004296423747641442,11.916692331497932,,,5.820766091346741e-10,664.826373,1013.43574,456.30224800000013,85.564156,0.0,0,0
fastxgemm-n3r22s4t6,SCS-3.0,optimal,1.8118290901184082,50,83.91974637096955,19539,185129,515205,1,0,0.1,83.91974637096955,83.9154986619571,0.0008531054181374188,0.0009983793601548551,0.004247709012442327,11.916749777396667,,,1.3969838619232178e-09,700.018659,1083.484646,478.0059370000001,88.06880100000002,0.0,0,0
fastxgemm-n3r23s5t6,SCS-3.0,optimal,1.9218130111694336,50,83.9204082645101,20394,193442,538524,1,0,0.1,83.9204082645101,83.91590641758962,0.0018804404719092813,0.000996345903172605,0.004501846920471563,11.916691872738845,,,1.1641532182693481e-09,728.189625,1162.987085,499.4309950000001,93.95743999999999,0.0,0,0
fhnw-binschedule2,SCS-3.0,optimal,8.202507019042969,2350,1706.5941710362013,30613,36680,164111,1,1,0.031078581308963932,1706.5941710362013,1706.5937362480988,0.06358269137153592,0.00011752467609669607,0.0004347881024900575,0.0005859478948227228,,,1.6986412276764895e-14,8000.698085,192.953749,6246.109244000003,720.5190860000002,0.0,0,0
fhnw-schedule-paira200,SCS-3.0,optimal,5.973805665969849,3100,-73.82650747357333,20246,40292,80238,1,1,0.010212524352624309,-73.82650747357333,-73.8265062582448,0.006251563142008427,2.2720187322994697e-05,1.2153285272116158e-06,,0.013545311959307062,0.0,1.4495748999284413e-10,5881.462704,87.0577,3783.2996560000033,901.0491130000005,0.0,0,0
fhnw-schedule-paira400,SCS-3.0,optimal,47.865248918533325,4850,-146.64512158358497,80503,160606,320509,1,3,0.004366346646561906,-146.64512158358497,-146.64511765637968,0.0375701400432218,1.1994663435247913e-05,3.927205268704968e-06,,0.006819183265976631,0.0,1.3865503819780572e-11,47401.14987,443.490535,29069.892591000018,7947.016485000009,0.0,0,0
fhnw-schedule-pairb200,SCS-3.0,optimal,1.2555181980133057,625,-73.81103655701735,10731,42486,84826,1,0,0.1,-73.81103655701735,-73.81131780219415,0.00015424741421838167,0.00019092280217203103,0.00028124517681123336,,0.013546019663515003,0.0,3.0804005179962957e-13,1162.361254,87.793621,697.4065669999999,252.11089699999994,0.0,0,0
fhnw-schedule-pairb400,SCS-3.0,optimal,14.891839027404785,1400,-146.92307814479855,46360,184528,368752,1,0,0.1,-146.92307814479855,-146.9238167008042,5.530696754440447e-05,8.113266837704285e-05,0.0007385560056266524,,0.006805906231061741,0.0,8.414449172156058e-11,14329.541619,538.943065,8469.774670000004,3012.838265999995,0.0,0,0
fiball,SCS-3.0,optimal,2.4920120239257812,800,137.0767544606048,32899,35286,134351,1,2,0.0056255580748832456,137.0767544606048,137.06579512133501,0.008332956170211212,4.187105419080161e-05,0.010959339269785965,0.007295763973011462,,,2.769128704116497e-09,2125.162285,359.144992,1481.8414440000033,253.13233399999982,0.0,0,0
genus-sym-g62-2,SCS-3.0,optimal,75.97725296020508,500,-53.99672675015425,12910,90943,281676,1,1,0.5775169906181498,-53.99672675015425,-53.99749490261974,5.9513633560914605e-05,7.118682595629852e-05,0.0007681524654900913,,0.018519641120353973,0.0,3.5697667044587433e-11,48830.32464,27091.274031,21691.278174000003,342.3068919999997,0.0,0,0
ger50-17-trans-dfn-3t,SCS-3.0,optimal,89.44918012619019,42350,3453.367930641623,22370,22856,190626,1,3,0.0001580046589081067,3453.367930641623,3453.703021377614,4.445953850932385,0.0003688871688780456,0.3350907359910902,0.010774174783268583,,,2.8762769943568856e-11,89271.585114,170.870461,68906.48052300005,8259.925691999926,0.0,0,0
ger50-17-trans-pop-3t,SCS-3.0,optimal,17.85690712928772,8250,3456.425213317344,22370,22856,190627,1,3,0.00017620327192702733,3456.425213317344,3456.671141844722,2.044671991996939,0.0009359125803945829,0.24592852737798873,0.01076492338325982,,,2.4771296125436493e-11,17683.955216,165.760361,13538.415326000004,1750.5869679999985,0.0,0,0
