tau,SCS-3.0,COSMO
3.737425742391064,0.96875,0.4625
3.7720424934169983,0.96875,0.4625
3.806979871402286,0.96875,0.4625
3.84224084605506,0.96875,0.46375
3.877828414589456,0.96875,0.46375
3.913745601980384,0.96875,0.46375
3.949995461220644,0.96875,0.46375
3.986581073580441,0.96875,0.46375
4.023505548869292,0.96875,0.46375
4.060772025700365,0.96875,0.46375
4.0983836717572615,0.96875,0.465
4.136343684063275,0.96875,0.465
4.174655289253137,0.96875,0.465
4.213321743847288,0.96875,0.465
4.252346334528682,0.96875,0.465
4.291732378422157,0.96875,0.46625
4.3314832233764,0.96875,0.46625
4.371602248248505,0.96875,0.46625
4.412092863191189,0.96875,0.46625
4.452958509942655,0.96875,0.4675
4.494202662119142,0.96875,0.4675
4.535828825510188,0.96875,0.46875
4.577840538376619,0.96875,0.46875
4.6202413717513116,0.96875,0.46875
4.663034929742731,0.96875,0.46875
4.7062248498412815,0.96875,0.46875
4.749814803228501,0.96875,0.47
4.79380849508911,0.96875,0.47
4.838209664925956,0.96875,0.47125
4.8830220868778795,0.96875,0.47125
4.9282495700405144,0.96875,0.47125
4.973895958790064,0.96875,0.47125
5.019965133110082,0.96875,0.47125
5.066461008921268,0.96875,0.47125
5.113387538414326,0.96875,0.47125
5.160748710385909,0.96875,0.47125
5.208548550577661,0.96875,0.47125
5.256791122018422,0.96875,0.47125
5.305480525369573,0.96875,0.47125
5.354620899273607,0.96875,0.4725
5.404216420705916,0.96875,0.47375
5.454271305329834,0.96875,0.475
5.50478980785497,0.96875,0.475
5.555776222398876,0.96875,0.47625
5.607234882852032,0.96875,0.4775
5.659170163246244,0.96875,0.48
5.711586478126432,0.96875,0.48125
5.764488282925877,0.96875,0.48125
5.8178800743449335,0.96875,0.48125
5.871766390733256,0.96875,0.48125
5.926151812475554,0.96875,0.4825
5.981040962380941,0.96875,0.4825
6.036438506075867,0.96875,0.4825
6.09234915240071,0.96875,0.4825
6.148777653810023,0.96875,0.4825
6.205728806776502,0.96875,0.4825
6.26320745219869,0.96875,0.4825
6.321218475812452,0.96875,0.4825
6.379766808606281,0.96875,0.48375
6.4388574272404195,0.96875,0.48375
6.49849535446989,0.96875,0.48375
6.558685659571432,0.96875,0.4875
6.619433458774393,0.96875,0.4875
6.680743915695613,0.96875,0.4875
6.742622241778342,0.96875,0.48875
6.805073696735208,0.96875,0.49
6.868103588995304,0.96875,0.49
6.931717276155406,0.96875,0.49125
6.995920165435373,0.96875,0.49125
7.060717714137773,0.96875,0.49125
7.1261154301117475,0.96875,0.49375
7.192118872221189,0.96875,0.495
7.258733650817251,0.96875,0.49625
7.3259654282152304,0.96875,0.4975
7.393819919175866,0.96875,0.49875
7.46230289139111,0.96875,0.5
7.531420165974372,0.96875,0.5
7.6011776179553285,0.96875,0.5
7.671581176779302,0.96875,0.5
7.742636826811269,0.96875,0.50125
7.814350607844544,0.96875,0.50125
7.886728615614152,0.96875,0.50375
7.959777002314984,0.96875,0.50375
8.033501977124734,0.96875,0.505
8.107909806731687,0.96875,0.50625
8.183006815867392,0.96875,0.50625
8.258799387844268,0.96875,0.50625
8.335293965098193,0.96875,0.5075
8.412497049736118,0.96875,0.5125
8.490415204088746,0.96875,0.5125
8.56905505126835,0.96875,0.5125
8.648423275731723,0.96875,0.51375
8.728526623848378,0.96875,0.51625
8.809371904473991,0.96875,0.51625
8.89096598952916,0.96875,0.51625
8.973315814583522,0.96875,0.5175
9.05642837944529,0.96875,0.51875
9.14031074875623,0.96875,0.51875
9.224970052592175,0.96875,0.52
9.310413487069077,0.96875,0.52125
9.396648314954692,0.96875,0.52125
9.483681866285922,0.96875,0.5225
9.571521538991863,0.96875,0.5225
9.660174799522645,0.96875,0.525
9.749649183484088,0.96875,0.525
9.83995229627823,0.96875,0.52625
9.931091813749795,0.96875,0.52875
10.023075482838655,0.96875,0.53
10.115911122238298,0.96875,0.53125
10.209606623060465,0.96875,0.53125
10.30416994950588,0.96875,0.5325
10.399609139541198,0.96875,0.53375
10.495932305582278,0.96875,0.53375
10.5931476351837,0.96875,0.53375
10.691263391734761,0.96875,0.53375
10.79028791516184,0.96875,0.53625
