name,solver,status,run_time,iter,obj_val,obj_opt,n,m,N,status_polish,setup_time,solve_time,update_time,rho_updates,rho_estimate
LISWET5,OSQP,optimal,0.13065195083618164,225,25.024076903415335,25.034253,10002,20002,50004,0,0.0108096,0.118805475,0.0,1,1.6309107076922678
LISWET6,OSQP,optimal,0.2396998405456543,525,24.989126004110403,24.995748,10002,20002,50004,0,0.0106636,0.227901205,0.0,1,4.865270110883414
LISWET7,OSQP,optimal,0.2834610939025879,650,24.996642637966488,498.84089,10002,20002,50004,0,0.01084753,0.271472264,0.0,1,6.135746138788973
LISWET8,OSQP,optimal,0.28188180923461914,650,24.996619131589796,7144.7006,10002,20002,50004,0,0.010891814,0.26989392,0.0,1,6.111689907962054
LISWET9,OSQP,optimal,0.2817997932434082,650,24.996569817289128,1963.2513,10002,20002,50004,0,0.01069371,0.269963152,0.0,1,6.111746170601624
LOTSCHD,OSQP,optimal,0.00047516822814941406,100,2398.2800879342426,2398.4159,12,19,72,0,2.2168e-05,0.000104463,0.0,1,1.5323712194201664
MOSARQP1,OSQP,optimal,0.021129131317138672,175,-952.8769218736846,-952.87544,2500,3200,8512,0,0.002346354,0.017901483,0.0,1,1.405915798136249
MOSARQP2,OSQP,optimal,0.019304752349853516,75,-1597.483657605334,-1597.4821,900,1500,4820,0,0.001580653,0.005706569,0.0,1,1.4409067327931016
POWELL20,OSQP,solver_error,39.34882712364197,100000,45654247587.35713,52089583000.0,10000,20000,40000,0,0.010311941,39.335065672,0.0,2,33.00747139931302
PRIMAL1,OSQP,optimal,0.029647111892700195,50,-0.03501285295471299,-0.035012965,325,410,6464,0,0.001644294,0.027662948,0.0,1,0.4630366421465433
PRIMAL2,OSQP,optimal,0.004155874252319336,25,-0.03373369508507323,-0.033733676,649,745,9339,0,0.002822258,0.000966552,0.0,0,0.7139374852770279
PRIMAL3,OSQP,optimal,0.03677701950073242,25,-0.13575793786938248,-0.13575584,745,856,23036,0,0.011761227,0.00182975,0.0,0,0.06830044393489744
PRIMAL4,OSQP,optimal,0.04373002052307129,75,-0.7460912041091421,-0.74609083,1489,1564,19008,0,0.010057344,0.033206932,0.0,0,0.023404550192540226
PRIMALC1,OSQP,solver_error,1.0453028678894043,100000,-133313670.05885553,-6155.2508,230,239,2529,0,0.000149545,1.034173575,0.0,4,1e-06
PRIMALC2,OSQP,solver_error,0.9949231147766113,100000,-142680322.59536898,-3551.3077,231,238,2078,0,0.000122136,0.983735723,0.0,2,1e-06
PRIMALC5,OSQP,solver_error,1.1162569522857666,100000,-12999716.626316082,-427.23233,287,295,2869,0,0.000176139,1.115738072,0.0,5,3.4669641304041704e-06
PRIMALC8,OSQP,solver_error,2.0026540756225586,100000,-249975663.6585133,-18309.43,520,528,5199,0,0.000291353,1.991612614,0.0,2,1e-06
Q25FV47,OSQP,optimal,9.838503122329712,34250,13744463.704253843,13744448.0,1571,2391,130523,0,0.038835656,9.795889826,0.0,1,0.009257443145001085
QADLITTL,OSQP,optimal,0.03319501876831055,1425,480374.41188100853,480318.86,97,153,637,0,0.000158566,0.032452955,0.0,4,0.00029184986182532346
QAFIRO,OSQP,optimal,0.0009028911590576172,375,-1.5907123533974294,-1.5907818,32,59,124,0,4.0136e-05,0.000372165,0.0,0,0.04087566602507824
QBANDM,OSQP,optimal,0.05147218704223633,2425,16352.572699706509,16352.342,472,777,3023,0,0.000745651,0.050044655,0.0,1,0.017315158952123818
QBEACONF,OSQP,optimal,0.04140281677246094,1950,164717.26835595263,164712.06,262,435,3673,0,0.000665406,0.031250288,0.0,3,3.980943004058127e-05
QBORE3D,OSQP,solver_error,1.2491722106933594,100000,3095.6905899388776,3100.2008,315,548,1872,0,0.0004557,1.21709061,0.0,17,6.743869435204118e-05
QBRANDY,OSQP,optimal,0.37471795082092285,23725,28374.663162413683,28375.115,249,469,2511,0,0.000530022,0.373599435,0.0,3,0.20182679955890873
QCAPRI,OSQP,solver_error,2.0164711475372314,100000,45465665.83344728,66793293.0,353,624,3852,0,0.000702211,2.009408166,0.0,2,13.118474383382525
QE226,OSQP,optimal,0.4608032703399658,21825,212.66273884921262,212.65343,282,505,4721,0,0.000687574,0.446336046,0.0,2,0.002777588762838479
QETAMACR,OSQP,solver_error,11.539767026901245,100000,86396.67179239921,86760.37,688,1088,11613,0,0.003871694,11.511654369,0.0,0,0.2081419936967528
QFFFFF80,OSQP,solver_error,7.037078857421875,100000,849882.1295703663,873147.47,854,1378,10635,0,0.00285934,7.033290276,0.0,2,0.002944615060117887
QFORPLAN,OSQP,solver_error,2.256049871444702,100000,7453708570.043322,7456631500.0,421,582,6112,0,0.001757269,2.253613531,0.0,7,8.883432185710701
QGFRDXPN,OSQP,solver_error,2.7678909301757812,100000,100211525863.06537,100790590000.0,1092,1708,3739,0,0.000717152,2.766505149,0.0,2,0.0024818274769613157
QGROW15,OSQP,optimal,0.9534661769866943,24375,-101695218.20771018,-101693640.0,645,945,7227,0,0.001181286,0.941789938,0.0,3,1e-06
QGROW22,OSQP,optimal,0.9810361862182617,17225,-149621840.13628432,-149628950.0,946,1386,10837,0,0.00149981,0.978822992,0.0,3,1e-06
QGROW7,OSQP,optimal,0.3370652198791504,19275,-42799070.984454334,-42798714.0,301,441,3597,0,0.00061105,0.335812283,0.0,3,1e-06
QISRAEL,OSQP,optimal,0.6873350143432617,57875,25350123.00934732,25347838.0,142,316,3765,0,0.000568544,0.663942872,0.0,4,0.0017298588012364911
QPCBLEND,OSQP,optimal,0.029265165328979492,325,-0.0079444320020023,-0.0078425409,83,157,657,0,0.000150743,0.028792074,0.0,2,119.9405381055914
QPCBOEI1,OSQP,solver_error,2.571655035018921,100000,11487333.102045067,11503914.0,384,735,4253,0,0.001140017,2.570115222,0.0,3,53.80621562050732
QPCBOEI2,OSQP,solver_error,1.008948802947998,100000,7197138.080435461,8171962.3,143,309,1482,0,0.000336189,0.986955176,0.0,5,35.20236994183334
QPCSTAIR,OSQP,optimal,0.1068570613861084,3250,6203745.601802998,6204387.5,467,823,4790,0,0.001120874,0.10533004,0.0,4,14.298786440563815
QPILOTNO,OSQP,solver_error,18.93197226524353,100000,4720816.904591458,4728586.9,2172,3147,16105,0,0.006899764,18.921187003,0.0,0,0.038973372635574065
QPTEST,OSQP,optimal,0.02619791030883789,50,4.3718750087637614,4.371875,2,4,10,0,1.0655e-05,4.8991e-05,0.0,1,1.939800316274157
QRECIPE,OSQP,optimal,0.002115011215209961,225,-266.6141176675874,-266.616,180,271,923,0,0.000147553,0.001395735,0.0,2,0.03758877341911247
QSC205,OSQP,optimal,0.004641056060791016,550,-0.005579644962262079,-0.0058139518,203,408,785,0,0.000201763,0.003901456,0.0,2,3.852266861667263
QSCAGR25,OSQP,optimal,0.08150291442871094,3875,201751418.1040958,201737940.0,500,971,2282,0,0.000395899,0.060650465,0.0,2,0.0009187415610943545
QSCAGR7,OSQP,optimal,0.013608932495117188,3125,26864462.072849516,26865949.0,140,269,602,0,0.000153605,0.012883977,0.0,2,0.0008603871534024508
QSCFXM1,OSQP,solver_error,2.314116954803467,100000,16880372.551189642,16882692.0,457,787,4456,0,0.00078198,2.312634006,0.0,6,0.0251471452646295
QSCFXM2,OSQP,solver_error,4.880105972290039,100000,27772604.573352642,27776162.0,914,1574,8285,0,0.001339737,4.865291515,0.0,6,0.030215476203876157
QSCFXM3,OSQP,optimal,5.0468339920043945,69850,30815263.329111528,30816355.0,1371,2361,11501,0,0.002163457,5.043857436,0.0,5,0.11308172596447619
QSCORPIO,OSQP,optimal,0.046475887298583984,1475,1880.2705590778676,1880.5096,358,746,1842,0,0.000384703,0.04549054,0.0,1,0.834856627653586
QSCRS8,OSQP,solver_error,3.6187357902526855,100000,904.6043944758286,904.56001,1169,1659,4560,0,0.000931223,3.617107872,0.0,2,0.002961771575706287
QSCSD1,OSQP,optimal,0.008581161499023438,300,8.666529826208471,8.6666667,760,837,4584,0,0.000674764,0.007234695,0.0,1,0.5248120331125897
QSCSD6,OSQP,optimal,0.43667125701904297,10775,50.80821448102961,50.808214,1350,1497,8378,0,0.001117386,0.415281746,0.0,2,1.4457191118175023
QSCSD8,OSQP,optimal,0.11237597465515137,1475,940.6945499764498,940.76357,2750,3147,16214,0,0.001865369,0.109619401,0.0,0,0.3775162965733755
QSCTAP1,OSQP,optimal,0.2142961025238037,12500,1415.7512898146133,1415.8611,480,780,2442,0,0.000517423,0.196576075,0.0,1,0.03403918698736038
QSCTAP2,OSQP,optimal,0.10908317565917969,1400,1735.1154938389063,1735.0265,1880,2970,10007,0,0.002156916,0.106128365,0.0,0,0.11989671383408838
QSCTAP3,OSQP,optimal,0.16138601303100586,1350,1438.6978724460826,1438.7547,2480,3960,13262,0,0.00287763,0.157697012,0.0,0,0.10793462794068705
QSEBA,OSQP,optimal,1.9534709453582764,69950,81476872.44144137,81481801.0,1028,1543,6576,0,0.001178147,1.951527714,0.0,5,0.008993545865477707
QSHARE1B,OSQP,solver_error,1.022791862487793,100000,839854.565930024,720078.32,225,342,1436,0,0.000267299,1.021777587,0.0,71,7.748407685952061e-05
QSHARE2B,OSQP,optimal,0.09559512138366699,8500,11703.130363555834,11703.692,79,175,873,0,0.000192789,0.06497479,0.0,8,0.08416452871923069
QSHELL,OSQP,optimal,0.4479219913482666,2700,1572636864116.9436,1572636800000.0,1775,2311,74506,0,0.006418985,0.435288362,0.0,3,0.00038251991271349826
QSHIP04L,OSQP,optimal,0.04775285720825195,900,2419989.6806484596,2420015.5,2118,2520,8548,0,0.002375023,0.044666045,0.0,1,0.007866854454248503
