tau,SCS-3.0,OSQP,COSMO
26.88001021537606,0.998,0.999,0.997
27.128978003724658,0.999,0.999,0.997
27.380251779278577,0.999,0.999,0.997
27.6338529005317,0.999,0.999,0.997
27.88980292380441,0.999,0.999,0.997
28.1481236050758,0.999,0.999,0.997
28.408836901833027,0.999,0.999,0.997
28.671964974937698,0.999,0.999,0.997
28.937530190509502,0.999,0.999,0.997
29.205555121827466,0.999,0.999,0.997
29.47606255124857,0.999,0.999,0.997
29.749075472144405,0.999,0.999,0.997
30.024617090855493,0.999,0.999,0.997
30.30271082866396,0.999,0.999,0.997
30.583380323784333,0.999,0.999,0.997
30.86664943337273,0.999,1.0,0.997
31.15254223555488,0.999,1.0,0.997
31.441083031472647,0.999,1.0,0.997
31.732296347349763,0.999,1.0,0.997
32.02620693657652,0.999,1.0,0.997
32.32283978181379,0.999,1.0,0.997
32.622220097116696,0.999,1.0,0.997
32.924373330077685,0.999,1.0,0.997
33.229325163989714,0.999,1.0,0.997
33.5371015200293,0.999,1.0,0.997
33.84772855945981,0.999,1.0,0.997
34.16123268585528,0.999,1.0,0.997
34.47764054734464,0.999,1.0,0.997
34.79697903887691,0.999,1.0,0.997
35.1192753045073,0.999,1.0,0.997
35.44455673970434,0.999,1.0,0.997
35.77285099367874,0.999,1.0,0.997
36.10418597173337,0.999,1.0,0.997
36.43858983763545,0.999,1.0,0.997
36.77609101601033,0.999,1.0,0.997
37.11671819475765,0.999,1.0,0.997
37.46050032748993,0.999,1.0,0.997
37.80746663599349,0.999,1.0,0.997
38.15764661271248,0.999,1.0,0.997
38.511070023255705,0.999,1.0,0.997
38.867766908926654,0.999,1.0,0.997
39.22776758927719,0.999,1.0,0.997
39.591102664684584,0.999,1.0,0.997
39.957803018952696,0.999,1.0,0.997
40.32789982193707,0.999,1.0,0.997
40.701424532194366,0.999,1.0,0.997
41.078408899656466,0.999,1.0,0.997
41.45888496832911,0.999,1.0,0.997
41.84288507901582,0.999,1.0,0.997
42.23044187206674,0.999,1.0,0.997
42.62158829015323,0.999,1.0,0.997
43.01635758106795,0.999,1.0,0.997
43.41478330055092,0.999,1.0,0.997
43.816899315141924,0.999,1.0,0.997
44.22273980505899,0.999,1.0,0.997
44.63233926710395,0.999,1.0,0.997
45.04573251759459,0.999,1.0,0.997
45.462954695323994,0.999,1.0,0.997
45.88404126454759,0.999,1.0,0.997
46.30902801799739,0.999,1.0,0.997
46.73795107992461,0.999,1.0,0.997
