tau,SCS,OSQP,COSMO
3.7720424934169983,0.997,0.992,0.578
3.806979871402286,0.997,0.994,0.578
3.84224084605506,0.997,0.994,0.58
3.877828414589456,0.997,0.994,0.583
3.913745601980384,0.997,0.994,0.584
3.949995461220644,0.997,0.994,0.584
3.986581073580441,0.997,0.994,0.585
4.023505548869292,0.997,0.994,0.585
4.060772025700365,0.997,0.994,0.585
4.0983836717572615,0.997,0.994,0.585
4.136343684063275,0.997,0.994,0.586
4.174655289253137,0.997,0.994,0.586
4.213321743847288,0.997,0.994,0.587
4.252346334528682,0.997,0.995,0.588
4.291732378422157,0.997,0.995,0.588
4.3314832233764,0.997,0.995,0.589
4.371602248248505,0.997,0.996,0.589
4.412092863191189,0.997,0.997,0.589
4.452958509942655,0.997,0.997,0.589
4.494202662119142,0.997,0.997,0.589
4.535828825510188,0.997,0.997,0.589
4.577840538376619,0.997,0.997,0.589
4.6202413717513116,0.997,0.997,0.589
4.663034929742731,0.997,0.997,0.589
4.7062248498412815,0.997,0.997,0.589
4.749814803228501,0.997,0.997,0.589
4.79380849508911,0.997,0.997,0.589
4.838209664925956,0.997,0.997,0.589
4.8830220868778795,0.997,0.997,0.589
4.9282495700405144,0.997,0.997,0.59
4.973895958790064,0.997,0.997,0.59
5.019965133110082,0.997,0.998,0.59
5.066461008921268,0.997,0.998,0.59
5.113387538414326,0.997,0.998,0.59
5.160748710385909,0.997,0.998,0.59
5.208548550577661,0.997,0.998,0.59
5.256791122018422,0.997,0.998,0.59
5.305480525369573,0.997,0.998,0.591
5.354620899273607,0.997,0.998,0.591
5.404216420705916,0.997,0.998,0.591
5.454271305329834,0.997,0.998,0.591
5.50478980785497,0.997,0.998,0.591
5.555776222398876,0.997,0.998,0.591
5.607234882852032,0.997,0.998,0.591
5.659170163246244,0.997,0.998,0.591
5.711586478126432,0.997,0.998,0.591
5.764488282925877,0.997,0.998,0.591
5.8178800743449335,0.997,0.998,0.591
5.871766390733256,0.997,0.998,0.591
5.926151812475554,0.997,0.998,0.591
5.981040962380941,0.997,0.998,0.591
6.036438506075867,0.997,0.998,0.591
6.09234915240071,0.997,0.998,0.591
6.148777653810023,0.997,0.998,0.591
6.205728806776502,0.997,0.998,0.591
6.26320745219869,0.997,0.998,0.591
6.321218475812452,0.997,0.998,0.591
6.379766808606281,0.997,0.998,0.591
6.4388574272404195,0.997,0.998,0.591
6.49849535446989,0.997,0.998,0.591
6.558685659571432,0.997,0.998,0.591
6.619433458774393,0.997,0.998,0.591
6.680743915695613,0.997,0.998,0.591
6.742622241778342,0.997,0.998,0.591
6.805073696735208,0.997,0.998,0.591
6.868103588995304,0.997,0.998,0.591
6.931717276155406,0.997,0.998,0.591
6.995920165435373,0.997,0.999,0.591
7.060717714137773,0.997,0.999,0.591
7.1261154301117475,0.997,0.999,0.591
7.192118872221189,0.997,0.999,0.591
7.258733650817251,0.997,0.999,0.592
7.3259654282152304,0.997,0.999,0.593
7.393819919175866,0.997,0.999,0.593
7.46230289139111,0.997,0.999,0.593
7.531420165974372,0.997,0.999,0.593
7.6011776179553285,0.997,0.999,0.593
7.671581176779302,0.997,0.999,0.593
7.742636826811269,0.997,0.999,0.593
7.814350607844544,0.997,0.999,0.593
7.886728615614152,0.997,1.0,0.593
7.959777002314984,0.997,1.0,0.593
8.033501977124734,0.998,1.0,0.593
8.107909806731687,0.998,1.0,0.593
8.183006815867392,0.999,1.0,0.593
8.258799387844268,0.999,1.0,0.593
8.335293965098193,0.999,1.0,0.593
8.412497049736118,0.999,1.0,0.593
8.490415204088746,0.999,1.0,0.593
8.56905505126835,0.999,1.0,0.593
8.648423275731723,0.999,1.0,0.593
8.728526623848378,0.999,1.0,0.593
8.809371904473991,0.999,1.0,0.593
8.89096598952916,0.999,1.0,0.593
8.973315814583522,0.999,1.0,0.593
9.05642837944529,0.999,1.0,0.593
9.14031074875623,0.999,1.0,0.593
9.224970052592175,0.999,1.0,0.593
9.310413487069077,0.999,1.0,0.593
9.396648314954692,0.999,1.0,0.593
9.483681866285922,0.999,1.0,0.593
9.571521538991863,0.999,1.0,0.593
9.660174799522645,0.999,1.0,0.593
9.749649183484088,0.999,1.0,0.593
