tau,SCS,OSQP,COSMO
1.754867149648151,0.964,0.528,0.002
1.7711210643450879,0.966,0.534,0.002
1.787525525904235,0.966,0.542,0.002
1.8040819287193828,0.966,0.553,0.002
1.820791680099463,0.966,0.558,0.002
1.8376562003881711,0.967,0.564,0.002
1.8546769230846987,0.967,0.571,0.002
1.8718552949655787,0.967,0.58,0.002
1.8891927762076663,0.969,0.588,0.002
1.9066908405122525,0.97,0.595,0.002
1.924350975230331,0.97,0.601,0.002
1.9421746814890257,0.97,0.605,0.002
1.9601634743191854,0.971,0.612,0.002
1.9783188827841642,0.972,0.619,0.002
1.996642450109794,0.972,0.623,0.002
2.0151357338155576,0.972,0.633,0.002
2.0338003058469813,0.972,0.637,0.002
2.052637752709252,0.972,0.646,0.002
2.071649675602069,0.973,0.651,0.002
2.0908376905557504,0.973,0.659,0.002
2.1102034285685956,0.973,0.664,0.002
2.12974853574552,0.974,0.669,0.002
2.14947467343798,0.975,0.674,0.002
2.1693835183851844,0.976,0.684,0.002
2.1894767628566214,0.978,0.691,0.002
2.209756114795902,0.978,0.7,0.002
2.2302232979659378,0.978,0.711,0.002
2.2508800520954613,0.978,0.712,0.002
2.2717281330269055,0.978,0.714,0.002
2.2927693128656492,0.978,0.72,0.002
2.314005380130653,0.978,0.727,0.002
2.3354381399064787,0.978,0.73,0.002
2.3570694139967276,0.978,0.735,0.002
2.3789010410788936,0.98,0.744,0.002
2.4009348768606524,0.98,0.75,0.002
2.4231727942375993,0.981,0.758,0.002
2.445616683452446,0.981,0.766,0.002
2.468268452255692,0.981,0.772,0.002
2.491130026067789,0.981,0.777,0.002
2.5142033481427974,0.981,0.784,0.002
2.5374903797335704,0.982,0.795,0.002
2.5609931002584587,0.982,0.799,0.002
2.5847135074695635,0.982,0.807,0.002
2.608653617622548,0.982,0.811,0.002
2.632815465648021,0.983,0.816,0.002
2.6572011053245053,0.983,0.821,0.002
2.681812609453015,0.983,0.827,0.002
2.7066520700332415,0.984,0.833,0.002
2.7317215984413767,0.984,0.836,0.002
2.7570233256095835,0.984,0.841,0.002
2.7825594022071245,0.984,0.844,0.002
2.808331998823172,0.985,0.848,0.002
2.8343433061513092,0.985,0.85,0.002
2.8605955351757424,0.985,0.853,0.002
2.887090917359236,0.986,0.858,0.002
2.9138317048327873,0.986,0.859,0.002
2.940820170587063,0.986,0.863,0.002
2.9680586086656024,0.986,0.866,0.002
2.9955493343598136,0.987,0.866,0.002
3.0232946844057773,0.989,0.868,0.002
3.0512970171828697,0.99,0.872,0.002
3.079558712914226,0.99,0.875,0.002
3.108082173869064,0.99,0.876,0.002
3.1368698245668774,0.99,0.877,0.002
3.1659241119835224,0.99,0.888,0.002
3.195247505759212,0.99,0.89,0.002
3.2248424984084414,0.991,0.893,0.002
3.254711605531848,0.991,0.894,0.002
3.2848573660300446,0.991,0.898,0.002
3.315282342319425,0.992,0.901,0.002
3.345989120549973,0.992,0.901,0.002
3.3769803108250906,0.992,0.904,0.002
3.408258547423452,0.992,0.905,0.002
3.4398264890229253,0.992,0.911,0.002
3.4716868189265613,0.993,0.916,0.002
3.503842245290674,0.994,0.919,0.002
3.536295501355042,0.995,0.92,0.002
3.5690493456752295,0.995,0.923,0.002
3.602106562357071,0.995,0.926,0.002
3.6354699612933197,0.995,0.93,0.002
3.6691423784024932,0.995,0.932,0.002
3.703126675869926,0.995,0.933,0.002
3.737425742391064,0.995,0.937,0.002
3.7720424934169983,0.996,0.939,0.002
3.806979871402286,0.997,0.942,0.002
3.84224084605506,0.997,0.942,0.002
3.877828414589456,0.997,0.942,0.002
3.913745601980384,0.997,0.944,0.002
3.949995461220644,0.997,0.948,0.002
3.986581073580441,0.998,0.951,0.002
4.023505548869292,0.998,0.954,0.002
4.060772025700365,0.999,0.955,0.002
4.0983836717572615,0.999,0.957,0.002
