tau,SCS,OSQP,COSMO
14.493095741262167,1.0,0.984,0.891
14.627333562011298,1.0,0.984,0.894
14.762814719093903,1.0,0.984,0.9
14.899550728528544,1.0,0.987,0.906
15.037553212997377,1.0,0.987,0.91
15.176833902834053,1.0,0.987,0.912
15.317404637020799,1.0,0.988,0.919
15.459277364194778,1.0,0.988,0.922
15.602464143663688,1.0,0.988,0.926
15.74697714643086,1.0,0.988,0.928
15.89282865622978,1.0,0.988,0.928
16.0400310705682,1.0,0.99,0.932
16.188596901781985,1.0,0.99,0.935
16.338538778098613,1.0,0.99,0.939
16.48986944471065,1.0,0.99,0.941
16.642601764859037,1.0,0.99,0.944
16.79674872092653,1.0,0.99,0.945
16.952323415541205,1.0,0.99,0.949
17.109339072690144,1.0,0.99,0.952
17.26780903884356,1.0,0.99,0.954
17.42774678408919,1.0,0.99,0.959
17.589165903277326,1.0,0.99,0.961
17.75208011717635,1.0,0.99,0.963
17.916503273639005,1.0,0.99,0.963
18.082449348779516,1.0,0.99,0.966
18.249932448161523,1.0,0.99,0.968
18.41896680799711,1.0,0.991,0.968
18.589566796356873,1.0,0.991,0.968
18.761746914391203,1.0,0.991,0.971
18.935521797562952,1.0,0.991,0.972
19.11090621689138,1.0,0.991,0.973
19.287915080207778,1.0,0.991,0.975
19.46656343342262,1.0,0.991,0.976
19.646866461804457,1.0,0.991,0.979
19.828839491270713,1.0,0.991,0.98
20.01249798969037,1.0,0.991,0.98
20.197857568198785,1.0,0.991,0.98
20.384933982524633,1.0,0.991,0.98
20.573743134329128,1.0,0.991,0.981
20.764301072557746,1.0,0.991,0.981
20.95662399480433,1.0,0.991,0.981
21.150728248687948,1.0,0.991,0.981
21.346630333242445,1.0,0.991,0.982
21.544346900318832,1.0,0.991,0.982
21.7438947560008,1.0,0.991,0.983
21.945290862033136,1.0,0.991,0.984
22.14855233726359,1.0,0.991,0.984
22.353696459097954,1.0,0.991,0.985
22.560740664968602,1.0,0.992,0.985
22.7697025538168,1.0,0.993,0.985
22.98059988758851,1.0,0.993,0.985
23.193450592744288,1.0,0.994,0.985
23.408272761782932,1.0,0.994,0.985
23.625084654779464,1.0,0.994,0.985
23.843904700937205,1.0,0.994,0.985
24.06475150015424,1.0,0.994,0.985
24.287643824604515,1.0,0.994,0.985
24.512600620333387,1.0,0.995,0.985
24.73964100886813,1.0,0.995,0.985
24.968784288843267,1.0,0.995,0.985
25.200049937640923,1.0,0.996,0.985
25.433457613046496,1.0,0.996,0.985
25.669027154919505,1.0,0.996,0.985
25.906778586880076,1.0,0.996,0.985
26.14673211801092,1.0,0.996,0.985
26.388908144575105,1.0,0.996,0.986
26.633327251749822,1.0,0.997,0.986
26.88001021537606,1.0,0.997,0.986
27.128978003724658,1.0,0.997,0.986
27.380251779278577,1.0,0.997,0.986
27.6338529005317,1.0,0.997,0.986
27.88980292380441,1.0,0.997,0.986
28.1481236050758,1.0,0.998,0.986
28.408836901833027,1.0,0.998,0.986
28.671964974937698,1.0,0.998,0.987
28.937530190509502,1.0,0.998,0.988
29.205555121827466,1.0,0.998,0.988
29.47606255124857,1.0,0.998,0.989
29.749075472144405,1.0,0.998,0.989
30.024617090855493,1.0,0.998,0.989
30.30271082866396,1.0,0.998,0.989
30.583380323784333,1.0,0.998,0.989
30.86664943337273,1.0,0.998,0.989
31.15254223555488,1.0,0.998,0.989
31.441083031472647,1.0,0.998,0.99
31.732296347349763,1.0,0.998,0.99
32.02620693657652,1.0,0.998,0.99
32.32283978181379,1.0,0.998,0.99
32.622220097116696,1.0,0.998,0.991
32.924373330077685,1.0,0.998,0.991
33.229325163989714,1.0,0.998,0.991
33.5371015200293,1.0,0.998,0.991
33.84772855945981,1.0,0.998,0.991
34.16123268585528,1.0,0.998,0.991
34.47764054734464,1.0,0.998,0.991
34.79697903887691,1.0,0.998,0.991
35.1192753045073,1.0,0.998,0.991
35.44455673970434,1.0,0.998,0.991
35.77285099367874,1.0,0.998,0.991
36.10418597173337,1.0,0.998,0.991
36.43858983763545,1.0,0.998,0.991
36.77609101601033,1.0,0.998,0.991
37.11671819475765,1.0,0.998,0.991
37.46050032748993,1.0,0.998,0.991
37.80746663599349,1.0,0.998,0.991
38.15764661271248,1.0,0.998,0.991
38.511070023255705,1.0,0.998,0.991
38.867766908926654,1.0,0.998,0.991
39.22776758927719,1.0,0.998,0.991
39.591102664684584,1.0,0.998,0.991
39.957803018952696,1.0,0.998,0.991
40.32789982193707,1.0,0.998,0.991
40.701424532194366,1.0,0.998,0.991
41.078408899656466,1.0,0.998,0.991
41.45888496832911,1.0,0.998,0.991
41.84288507901582,1.0,0.998,0.991
42.23044187206674,1.0,0.998,0.991
42.62158829015323,1.0,0.998,0.991
43.01635758106795,1.0,0.998,0.991
43.41478330055092,1.0,0.998,0.993
43.816899315141924,1.0,0.998,0.993
44.22273980505899,1.0,0.998,0.993
44.63233926710395,1.0,0.998,0.993
45.04573251759459,1.0,0.998,0.993
45.462954695323994,1.0,0.998,0.993
45.88404126454759,1.0,0.998,0.993
46.30902801799739,1.0,0.998,0.993
46.73795107992461,1.0,0.998,0.993
47.17084690917017,1.0,0.998,0.993
47.607752302263684,1.0,0.998,0.993
48.048704396551315,1.0,0.998,0.993
48.493740673352356,1.0,0.998,0.995
48.94289896114529,1.0,0.998,0.995
49.396217438783204,1.0,0.998,0.995
49.853734638738935,1.0,0.998,0.995
50.31548945038054,1.0,0.998,0.996
50.78152112327673,1.0,0.998,0.996
51.2518692705333,1.0,0.998,0.996
51.72657387216019,1.0,0.998,0.996
52.205675278469755,1.0,0.998,0.996
52.689214213506744,1.0,0.998,0.996
53.17723177850969,1.0,0.998,0.996
53.66976945540476,1.0,0.998,0.996
54.16686911033152,1.0,0.998,0.996
54.66857299720181,1.0,0.998,0.996
55.17492376129126,1.0,0.998,0.996
55.68596444286412,1.0,0.998,0.996
56.20173848083188,1.0,0.998,0.996
56.72228971644544,1.0,0.998,0.996
57.247662397021784,1.0,0.998,0.996
57.77790117970504,1.0,0.998,0.996
58.313051135262214,1.0,0.998,0.996
58.8531577519145,1.0,0.998,0.996
59.398266939203566,1.0,0.998,0.996
59.94842503189409,1.0,0.998,0.996
60.503678793912215,1.0,0.998,0.996
61.06407542232039,1.0,0.998,0.997
61.629662551329425,1.0,0.998,0.997
62.200488256347114,1.0,0.999,0.997
62.776601058065,1.0,0.999,0.997
63.35804992658251,1.0,0.999,0.997
63.9448842855694,1.0,0.999,0.997
64.53715401646701,1.0,0.999,0.997
65.13490946272803,1.0,0.999,0.997
65.73820143409586,1.0,0.999,0.997
66.34708121092348,1.0,0.999,0.997
66.96160054853219,1.0,0.999,0.997
67.5818116816111,1.0,0.999,0.997
68.20776732865686,1.0,0.999,0.997
68.83952069645497,1.0,0.999,0.997
69.47712548460237,1.0,0.999,0.998
70.12063589007181,1.0,0.999,0.998
70.77010661181889,1.0,0.999,0.998
71.42559285543126,1.0,0.999,0.998
72.08715033782136,1.0,0.999,0.998
72.7548352919623,1.0,0.999,0.999
73.42870447166761,1.0,0.999,0.999
74.1088151564157,1.0,0.999,0.999
74.79522515621821,1.0,0.999,0.999
75.48799281653436,1.0,0.999,0.999
76.18717702322995,1.0,0.999,0.999
76.8928372075831,1.0,0.999,0.999
77.6050333513357,1.0,0.999,0.999
78.32382599179196,1.0,0.999,0.999
79.04927622696424,1.0,0.999,0.999
79.78144572076624,1.0,0.999,0.999
80.52039670825474,1.0,0.999,0.999
81.26619200091946,1.0,0.999,0.999
82.01889499202203,1.0,0.999,0.999
82.77856966198476,1.0,0.999,0.999
83.54528058382867,1.0,0.999,0.999
84.31909292866256,1.0,0.999,0.999
85.10007247122246,1.0,0.999,0.999
85.88828559546249,1.0,0.999,0.999
86.68379930019779,1.0,1.0,0.999
87.4866812047991,1.0,1.0,0.999
88.29699955494087,1.0,1.0,0.999
89.11482322840202,1.0,1.0,0.999
89.94022174092044,1.0,1.0,0.999
90.77326525210228,1.0,1.0,0.999
91.61402457138516,1.0,1.0,0.999
92.46257116405738,1.0,1.0,0.999
93.31897715733238,1.0,1.0,0.999
94.18331534647952,1.0,1.0,0.999
95.05565920101196,1.0,1.0,0.999
95.93608287093141,1.0,1.0,0.999
96.82466119303123,1.0,1.0,0.999
97.72146969725725,1.0,1.0,0.999
98.6265846131282,1.0,1.0,0.999
99.54008287621524,1.0,1.0,0.999
100.46204213468131,1.0,1.0,0.999
101.39254075588153,1.0,1.0,0.999
