name,solver,status,run_time,iter,obj_val,n,m,N,status_val,scale_updates,scale,pobj,dobj,res_pri,res_dual,gap,res_infeas,res_unbdd_a,res_unbdd_p,comp_slack,solve_time,setup_time,lin_sys_time,cone_time,accel_time,rejected_accel_steps,accepted_accel_steps
gpp124-4,SCS_AA2,max_iter_reached,751.5110373497009,100000,-418.9710352219616,7750,125,7874,2,0,0.1,-418.9710352219616,-418.9710059864311,3.2030500670829467e-06,0.001873615125110167,2.92355304279625e-05,,0.017900993760916938,0.0,2.041630978055764e-06,751512.394955,5.711506,13812.949263000084,732076.8716109996,940.2357879990423,909,0
hinf1,SCS_AA2,optimal,1.8729279041290283,41700,2.0332099687429026,105,13,92,1,0,0.1,2.0332099687429026,2.0333604367771705,0.001958635792364764,0.00016838542598081207,0.00015046803426794217,0.49171391185260266,,,4.297001185427085e-09,1872.24191,0.27491,93.31016899999887,1703.5345850000103,19.76014500000075,378,1
hinf10,SCS_AA2,optimal,3.6946308612823486,59400,109.50953446395798,171,21,190,1,0,0.1,109.50953446395798,109.52001022091795,0.013574467919554394,3.0365413158187687e-05,0.010475756959974516,0.009130474262828831,,,5.168250716280909e-09,3693.853189,0.436848,185.98090099999882,3396.6697419999814,29.213619999999647,537,22
hinf11,SCS_AA2,optimal,5.252355098724365,53975,66.20370966959156,253,31,417,1,0,0.1,66.20370966959156,66.20537071966574,0.0074912731274425805,3.58511483336333e-05,0.0016610500741728851,0.015104278942488919,,,2.7035323979518466e-08,5251.640636,0.359787,291.2241060000005,4823.677481000026,34.878920000000285,489,17
hinf12,SCS_AA2,max_iter_reached,13.873884201049805,100000,683.4933976023906,300,43,579,2,0,0.1,683.4933976023906,0.0257157603572975,507.40150360355875,85.87092439609636,683.4676818420332,3339.233341849381,,,1.3913126067082296e-07,13872.873292,0.633666,674.9048210000017,12704.406264999996,268.0030509997677,282,6897
hinf13,SCS_AA2,optimal,0.09045600891113281,500,25.85743120562877,465,57,1444,1,0,0.1,25.85743120562877,25.85776689400328,0.008813120809097762,7.635698934615296e-05,0.00033568837450931256,0.03867219760774024,,,4.4610963811919646e-08,89.45765,0.700633,5.969492000000006,81.34177699999996,0.6132890000000003,3,6
hinf14,SCS_AA2,optimal,0.6470019817352295,2650,13.034665167931475,595,73,2394,1,0,0.1,13.034665167931475,13.034915205680258,0.000473169038927334,5.786074472839015e-05,0.00025003774878343634,0.07671662274411079,,,2.7123103762960454e-09,645.308286,1.254252,48.63650199999995,582.4857519999989,4.036291999999977,22,22
hinf15,SCS_AA2,optimal,4.049867868423462,15450,14.697311550097542,703,91,3394,1,0,0.1,14.697311550097542,14.698192655945963,0.014529296664098992,0.00019997439480788686,0.0008811058484209116,0.06803469451854399,,,1.0822490459361234e-08,4048.282082,1.313748,340.2685040000036,3626.156167999992,19.153487000001242,139,9
hinf2,SCS_AA2,optimal,0.39662718772888184,8425,10.900053228472894,136,13,118,1,0,0.1,10.900053228472894,10.899311018393771,0.002268117465706136,0.0001917223554175499,0.0007422100791220985,0.09175346140655798,,,9.70212710171836e-09,395.878173,0.340266,23.700968999999986,355.4678910000005,4.503035999999934,75,9
hinf3,SCS_AA2,optimal,0.04342818260192871,1000,56.94604129109037,136,13,118,1,0,0.1,56.94604129109037,56.942986129298866,0.005898420582348396,0.00011770281059031669,0.0030551617915009774,0.017559620238465384,,,2.4427933453807782e-08,42.738196,0.333105,2.5387539999999973,38.180565,0.481249999999999,8,2
hinf4,SCS_AA2,optimal,0.3943309783935547,6850,274.81878064643604,136,13,118,1,0,0.1,274.81878064643604,274.81888688121114,0.0012412352709443915,0.00019858353355419023,0.00010623477514892221,0.0036387596499583936,,,3.9313825084263954e-08,393.212284,0.444353,23.159141999999935,349.8004289999993,5.6245789999999705,60,20
hinf5,SCS_AA2,max_iter_reached,4.9344401359558105,100000,343.9335894319071,136,13,118,2,0,0.1,343.9335894319071,343.9343305155452,0.029692665301748616,0.0017087963905057539,0.0007410836380732617,0.002907633061331239,,,1.287002930894232e-07,4933.578867,0.380631,306.0796949999984,4404.774117000059,60.29793800003143,907,18
hinf6,SCS_AA2,optimal,3.514564037322998,63075,446.4169512535927,136,13,118,1,0,0.1,446.4169512535927,446.39267671777606,0.06624147982493003,4.1594611983587235e-05,0.024274535816638555,0.002240204959066823,,,2.608143789828432e-08,3513.370454,0.470646,211.79533200000148,3115.233714000004,40.1289820000108,573,4
hinf7,SCS_AA2,optimal,1.3130950927734375,25300,243.29597469196437,136,13,118,1,0,0.1,243.29597469196437,243.27294709557071,0.366813783941981,0.00016681059455033245,0.02302759639367168,0.004110046729086167,,,1.421438788895557e-08,1312.433117,0.308891,77.34352899999989,1182.2490009999988,14.521241999999928,229,4
hinf8,SCS_AA2,optimal,2.0264968872070312,32100,115.61881903887792,136,13,118,1,0,0.1,115.61881903887792,115.6213604657902,0.012625057503112571,0.00019986218321780093,0.0025414269122807616,0.008648717637284494,,,1.707066665801449e-08,2025.408641,0.316185,109.4755229999993,1840.4433640000002,20.6111850000015,291,1
hinf9,SCS_AA2,optimal,0.31160926818847656,5350,23.729532016061118,136,13,118,1,0,0.1,23.729532016061118,23.729905766830598,0.016209361467851204,0.0001324669554642762,0.00037375076947979467,0.04214089955695931,,,4.159364124234344e-07,310.976706,0.256304,18.794746000000064,278.7155219999988,3.8037039999999487,47,7
mcp100,SCS_AA2,optimal,2.772865056991577,575,226.12596055689374,5050,100,100,1,0,0.1,226.12596055689374,226.13296909962094,0.0005086865717692468,0.00010744355295805658,0.007008542727194724,0.004422376121757387,,,1.0687017493182793e-07,2768.674716,3.127944,44.418476000000005,2701.348709000003,4.9994170000000056,5,0
mcp124-1,SCS_AA2,optimal,5.058434724807739,725,141.94134783314547,7750,124,124,1,0,0.1,141.94134783314547,141.9466699471352,0.00021492015891031122,0.0001966676995226344,0.005322113989746036,0.007044899329955514,,,2.8019098863296676e-07,5052.117984,4.834164,91.37974200000005,4914.060512000003,9.373211999999965,6,0
mcp124-2,SCS_AA2,optimal,4.262568235397339,525,269.83297111780655,7750,124,124,1,0,0.1,269.83297111780655,269.84099391894205,0.0003629210342852018,0.0001917818404523519,0.008022801135513203,0.0037059947716708568,,,9.795090818442986e-07,4257.292071,3.984489,63.69760100000006,4160.3612200000025,7.293327000000016,4,0
mcp124-3,SCS_AA2,optimal,6.152502059936523,650,467.729347182597,7750,124,124,1,0,0.1,467.729347182597,467.73459818152264,0.0005361768165803042,6.358655335183892e-05,0.00525099892565867,0.0021380743432657064,,,2.369175263083889e-06,6146.381408,4.363879,86.37139599999986,6015.524569000005,8.990689000000007,5,0
mcp124-4,SCS_AA2,optimal,5.7982871532440186,600,864.3774253906215,7750,124,124,1,0,0.1,864.3774253906215,864.3870927419089,0.0007143300236201899,9.162707207119688e-05,0.009667351287354612,0.0011569950956806818,,,1.5708756109233946e-06,5792.194282,5.035172,78.02120200000006,5673.266965,9.445338000000016,5,0
mcp250-1,SCS_AA2,optimal,35.05311679840088,1050,317.2229880612128,31375,250,250,1,0,0.1,317.2229880612128,317.21889290905546,7.053187987992268e-05,0.0001962814590553879,0.004095152157327153,0.0031524613653006765,,,1.4207125786924735e-06,35034.728329,14.59663,480.9609869999995,34312.52065599999,45.54195,9,0
mcp250-2,SCS_AA2,optimal,24.888474941253662,700,531.9290849806217,31375,250,250,1,0,0.1,531.9290849806217,531.9294279585358,9.640561246901572e-06,2.791272523835512e-05,0.00034297791412238126,0.0018800011057165862,,,3.3853011700557545e-06,24872.076574,14.233254,311.23555499999986,24401.62845400001,32.53184000000003,6,1
mcp250-3,SCS_AA2,optimal,23.98400115966797,625,981.1040846265886,31375,250,250,1,0,0.1,981.1040846265886,981.0944416398892,0.0002830616676655287,0.00019967063311937124,0.00964298669941715,0.0010192777544344874,,,1.510024958406575e-05,23967.518926,13.693497,289.48906500000004,23531.704788000003,28.366686000000016,5,0
mcp250-4,SCS_AA2,optimal,25.808367013931274,600,1681.7479331720663,31375,250,250,1,0,0.1,1681.7479331720663,1681.7192101619944,0.0005854543437430446,0.0001940082709766357,0.028723010071800347,0.0005946311773352733,,,7.684333468205296e-06,25790.739166,14.477837,295.573558,25346.38882000001,30.241561000000008,5,0
qap5,SCS_AA2,optimal,0.6850230693817139,2925,-435.9708685838266,351,136,1026,1,0,0.1,-435.9708685838266,-435.9635926551185,0.023779950070490625,0.0020268019643397673,0.007275928708080956,,0.20760486812478335,0.0,6.561635501611818e-08,684.024653,0.720049,25.72169700000005,645.2192729999994,5.954861999999924,13,144
qap6,SCS_AA2,optimal,1.2570810317993164,2975,-381.1316153674649,703,229,1981,1,0,0.1,-381.1316153674649,-381.09673143965466,0.017498554591612692,0.00017723787419964782,0.034883927810217256,,0.30056630181905286,0.0,1.3233634277298734e-07,1255.643524,1.038032,48.00458100000002,1184.7905370000008,10.616486999999907,10,177
qap7,SCS_AA2,optimal,0.9016611576080322,850,-424.04988500550286,1275,358,3480,1,0,0.1,-424.04988500550286,-424.04069587062,0.03697382875546108,0.000764164371523739,0.009189134882799292,,0.2701429035165845,0.0,8.693895452438483e-07,899.071482,1.805592,37.917139000000006,841.1655749999991,8.440738000000003,2,52
qap8,SCS_AA2,optimal,15.247066259384155,10375,-756.8195216202009,2145,529,5697,1,0,0.1,-756.8195216202009,-756.7445564298322,0.0020099856829330696,1.1432106133295098e-05,0.07496519036879576,,0.15135894769174513,0.0,1.0476202012554836e-06,15243.898353,2.902477,513.2041550000004,14551.55337200001,54.83069099999678,75,202
ss30,SCS_AA2,max_iter_reached,1000.9148621559143,14925,20.975460271488434,90951,132,6642,2,0,0.1,20.975460271488434,20.975525490730945,0.008873397794048924,0.3089486068072883,6.52192425097679e-05,0.14798801826388447,,,6.448650680113133e-08,1000881.683736,37.796588,19241.23375699992,971648.5450339989,1852.5541419998838,132,33
theta1,SCS_AA2,optimal,0.30925607681274414,400,23.00077127268743,1275,104,153,1,0,0.1,23.00077127268743,22.99897358385428,0.00022007171846859832,9.503767300454237e-05,0.0017976888331520807,0.04347606899418103,,,2.396858294062554e-07,308.125132,0.679214,5.545506000000002,299.51541100000026,1.1907829999999975,1,18
theta2,SCS_AA2,optimal,3.1400868892669678,1025,32.88171446450151,5050,498,597,1,0,0.1,32.88171446450151,32.88302247050514,0.00010199626316119233,0.00016367228329754679,0.0013080060036255905,0.030405852400384386,,,6.70613906628148e-08,3135.937911,3.33319,59.36952000000002,3049.8961300000033,9.590876999999995,6,26
truss1,SCS_AA2,optimal,0.0019860267639160156,125,-8.99999639908682,91,6,25,1,0,0.1,-8.99999639908682,-8.999996366468388,1.720007609663724e-08,5.697082329253821e-09,3.261843305176454e-08,,0.11111115494360835,0.0,1.1781847497616127e-08,1.639663,0.134987,0.11711899999999999,1.3529399999999998,0.037306999999999986,0,2
truss2,SCS_AA2,optimal,0.6543328762054443,700,-123.35390459512176,8911,58,567,1,0,0.1,-123.35390459512176,-123.35378344815817,9.915028115665597e-05,0.0002532074287662901,0.00012114696359326343,,0.008105952162606987,0.0,9.734803896321864e-08,650.527794,2.96923,58.81653899999997,563.1960290000006,7.729139999999966,5,9
truss3,SCS_AA2,optimal,0.033448219299316406,800,-9.116856878503278,496,27,118,1,0,0.1,-9.116856878503278,-9.116616375615552,0.0009953374601418534,0.00019064308432138342,0.0002405028877256996,,0.10966552772451282,0.0,2.5354293775592396e-08,32.904372,0.290664,4.244031000000004,26.508268999999995,0.5159249999999969,7,1
truss4,SCS_AA2,optimal,0.0032701492309570312,125,-9.010000639224478,190,12,50,1,0,0.1,-9.010000639224478,-9.010001041420422,3.136508325568374e-07,4.772357668949576e-07,4.0219594506888077e-07,,0.11098779620163231,0.0,4.74944528150445e-09,2.792586,0.205347,0.2720970000000001,2.2202840000000004,0.06489900000000004,0,2
truss5,SCS_AA2,optimal,118.66387724876404,11725,-132.6351530298467,54946,208,2823,1,0,0.1,-132.6351530298467,-132.63515292326696,2.9632066814907587e-05,0.0002991904362925054,1.0657972977854598e-07,,0.007539478706422826,0.0,1.0012744837695209e-06,118642.527856,18.250994,8036.256332999979,106543.54035500009,784.1482259999633,103,33
truss6,SCS_AA2,optimal,190.8459439277649,6625,-900.9653217806742,101926,172,1726,1,0,0.1,-900.9653217806742,-900.9653153447802,2.8828677690686696e-05,0.0002829134339726622,6.435894077107163e-06,,0.0011098886351651796,0.0,1.0532561706133592e-06,190802.704991,37.336083,9521.852172999996,176147.14564299947,891.6205149999756,60,0
truss7,SCS_AA2,optimal,78.16557908058167,7575,-899.9823238033447,45451,86,863,1,0,0.1,-899.9823238033447,-899.9823194139035,1.9150979654324142e-05,0.00029448447695696765,4.389441276571285e-06,,0.0011111116547205117,0.0,4.425234714777737e-07,78147.803435,15.151323,4614.83709499999,71078.68714499999,413.23919999997025,68,0
